Instance,|V|,|E|,dim(Q),nz(Q>),nz(Diag(Q)),OSV
"pm1d_80.9 (.mc, .bq)",80,3128,80,3128,77,258
"pm1d_100.0 (.mc, .bq)",100,4901,100,4901,97,340
"pm1d_100.1 (.mc, .bq)",100,4901,100,4901,99,324
"pm1d_100.2 (.mc, .bq)",100,4901,100,4901,99,389
"pm1d_100.3 (.mc, .bq)",100,4901,100,4901,94,400
"pm1d_100.4 (.mc, .bq)",100,4901,100,4901,100,363
"pm1d_100.5 (.mc, .bq)",100,4901,100,4901,97,441
"pm1d_100.6 (.mc, .bq)",100,4901,100,4901,97,367
"pm1d_100.7 (.mc, .bq)",100,4901,100,4901,98,361
"pm1d_100.8 (.mc, .bq)",100,4901,100,4901,94,385
"pm1d_100.9 (.mc, .bq)",100,4901,100,4901,97,405
"pm1s_80.0 (.mc, .bq)",80,316,80,316,70,79
"pm1s_80.1 (.mc, .bq)",80,316,80,316,69,85
"pm1s_80.2 (.mc, .bq)",80,316,80,316,67,82
"pm1s_80.3 (.mc, .bq)",80,316,80,316,66,81
"pm1s_80.4 (.mc, .bq)",80,316,80,316,69,70
"pm1s_80.5 (.mc, .bq)",80,316,80,316,66,87
"pm1s_80.6 (.mc, .bq)",80,316,80,316,71,73
"pm1s_80.7 (.mc, .bq)",80,316,80,316,69,83
"pm1s_80.8 (.mc, .bq)",80,316,80,316,68,81
"pm1s_80.9 (.mc, .bq)",80,316,80,316,67,70
"pm1s_100.0 (.mc, .bq)",100,495,100,495,88,127
"pm1s_100.1 (.mc, .bq)",100,495,100,495,92,126
"pm1s_100.2 (.mc, .bq)",100,495,100,495,87,125
"pm1s_100.3 (.mc, .bq)",100,495,100,495,87,111
"pm1s_100.4 (.mc, .bq)",100,495,100,495,86,128
"pm1s_100.5 (.mc, .bq)",100,495,100,495,81,128
"pm1s_100.6 (.mc, .bq)",100,495,100,495,90,122
"pm1s_100.7 (.mc, .bq)",100,495,100,495,90,112
"pm1s_100.8 (.mc, .bq)",100,495,100,495,91,120
"pm1s_100.9 (.mc, .bq)",100,495,100,495,86,127
"pw01_100.0 (.mc, .bq)",100,495,100,495,100,2019
"pw01_100.1 (.mc, .bq)",100,495,100,495,100,2060
"pw01_100.2 (.mc, .bq)",100,495,100,495,100,2032
"pw01_100.3 (.mc, .bq)",100,495,100,495,100,2067
"pw01_100.4 (.mc, .bq)",100,495,100,495,100,2039
"pw01_100.5 (.mc, .bq)",100,495,100,495,100,2108
"pw01_100.6 (.mc, .bq)",100,495,100,495,100,2032
"pw01_100.7 (.mc, .bq)",100,495,100,495,100,2074
"pw01_100.8 (.mc, .bq)",100,495,100,495,100,2022
"pw01_100.9 (.mc, .bq)",100,495,100,495,100,2005
"pw05_100.0 (.mc, .bq)",100,2475,100,2475,100,8190
"pw05_100.1 (.mc, .bq)",100,2475,100,2475,100,8045
"pw05_100.2 (.mc, .bq)",100,2475,100,2475,100,8039
"pw05_100.3 (.mc, .bq)",100,2475,100,2475,100,8139
"pw05_100.4 (.mc, .bq)",100,2475,100,2475,100,8125
"pw05_100.5 (.mc, .bq)",100,2475,100,2475,100,8169
"pw05_100.6 (.mc, .bq)",100,2475,100,2475,100,8217
"pw05_100.7 (.mc, .bq)",100,2475,100,2475,100,8249
"pw05_100.8 (.mc, .bq)",100,2475,100,2475,100,8199
"pw05_100.9 (.mc, .bq)",100,2475,100,2475,100,8099
"pw09_100.0 (.mc, .bq)",100,4455,100,4455,100,13585
"pw09_100.1 (.mc, .bq)",100,4455,100,4455,100,13417
"pw09_100.2 (.mc, .bq)",100,4455,100,4455,100,13461
"pw09_100.3 (.mc, .bq)",100,4455,100,4455,100,13656
"pw09_100.4 (.mc, .bq)",100,4455,100,4455,100,13514
"pw09_100.5 (.mc, .bq)",100,4455,100,4455,100,13574
"pw09_100.6 (.mc, .bq)",100,4455,100,4455,100,13640
"pw09_100.7 (.mc, .bq)",100,4455,100,4455,100,13501
"pw09_100.8 (.mc, .bq)",100,4455,100,4455,100,13593
"pw09_100.9 (.mc, .bq)",100,4455,100,4455,100,13658
"w01_100.0 (.mc, .bq)",100,466,100,466,98,651
"w01_100.1 (.mc, .bq)",100,468,100,468,97,719
"w01_100.2 (.mc, .bq)",100,460,100,460,99,676
"w01_100.3 (.mc, .bq)",100,475,100,475,98,813
"w01_100.4 (.mc, .bq)",100,464,100,464,97,668
"w01_100.5 (.mc, .bq)",100,473,100,473,99,643
"w01_100.6 (.mc, .bq)",100,474,100,474,97,654
"w01_100.7 (.mc, .bq)",100,476,100,476,97,725
"w01_100.8 (.mc, .bq)",100,473,100,473,98,721
"w01_100.9 (.mc, .bq)",100,475,100,475,100,729
"w05_100.0 (.mc, .bq)",100,2343,100,2343,100,1646
"w05_100.1 (.mc, .bq)",100,2357,100,2357,99,1606
"w05_100.2 (.mc, .bq)",100,2352,100,2352,97,1902
"w05_100.3 (.mc, .bq)",100,2365,100,2365,98,1627
"w05_100.4 (.mc, .bq)",100,2348,100,2348,98,1546
"w05_100.5 (.mc, .bq)",100,2360,100,2360,100,1581
"w05_100.6 (.mc, .bq)",100,2355,100,2355,97,1479
"w05_100.7 (.mc, .bq)",100,2365,100,2365,99,1987
"w05_100.8 (.mc, .bq)",100,2364,100,2364,100,1311
"w05_100.9 (.mc, .bq)",100,2355,100,2355,99,1752
"w09_100.0 (.mc, .bq)",100,4223,100,4223,98,2121
"w09_100.1 (.mc, .bq)",100,4222,100,4222,99,2096
"w09_100.2 (.mc, .bq)",100,4252,100,4252,100,2738
"w09_100.3 (.mc, .bq)",100,4254,100,4254,99,1990
"w09_100.4 (.mc, .bq)",100,4222,100,4222,100,2033
"w09_100.5 (.mc, .bq)",100,4258,100,4258,99,2433
"w09_100.6 (.mc, .bq)",100,4245,100,4245,98,2220
"w09_100.7 (.mc, .bq)",100,4258,100,4258,98,2252
"w09_100.8 (.mc, .bq)",100,4258,100,4258,99,1843
"w09_100.9 (.mc, .bq)",100,4258,100,4258,99,2043
